=== Sniffer Log - 2026-06-15 11:22:18 ===
Interface: wlp108s0 | Filtre: aucun
[2026-06-15 10:52:02.755] UDP   | 172.20.10.1    :53    -> 172.20.10.5    :59158
[2026-06-15 10:52:02.756] UDP   | 172.20.10.5    :56494 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.757] UDP   | 172.20.10.5    :56494 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.757] UDP   | 172.20.10.5    :56494 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.759] UDP   | 172.20.10.5    :44477 -> 172.20.10.1    :53   
[2026-06-15 10:52:02.759] UDP   | 172.20.10.5    :37574 -> 172.20.10.1    :53   
[2026-06-15 10:52:02.759] UDP   | 172.20.10.5    :37574 -> 172.20.10.1    :53   
[2026-06-15 10:52:02.772] UDP   | 172.20.10.1    :53    -> 172.20.10.5    :44477
[2026-06-15 10:52:02.772] UDP   | 172.20.10.1    :53    -> 172.20.10.5    :37574
[2026-06-15 10:52:02.772] UDP   | 172.20.10.1    :53    -> 172.20.10.5    :37574
[2026-06-15 10:52:02.773] TCP   | 172.20.10.5    :43298 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.773] TCP   | 172.20.10.5    :43314 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.773] TCP   | 172.20.10.5    :43322 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.773] TCP   | 172.20.10.5    :43338 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.773] TCP   | 172.20.10.5    :43348 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.773] TCP   | 172.20.10.5    :43356 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.779] TCP   | 172.20.10.5    :34482 -> 34.107.221.82  :80   
[2026-06-15 10:52:02.825] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:02.825] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.831] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:02.831] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.837] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:02.838] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.867] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43348
[2026-06-15 10:52:02.867] UDP   | 102.132.104.60 :443   -> 172.20.10.5    :56494
[2026-06-15 10:52:02.867] UDP   | 102.132.104.60 :443   -> 172.20.10.5    :56494
[2026-06-15 10:52:02.867] TCP   | 172.20.10.5    :43348 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.868] TCP   | 172.20.10.5    :43348 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.880] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43356
[2026-06-15 10:52:02.880] TCP   | 172.20.10.5    :43356 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.880] TCP   | 172.20.10.5    :43356 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.886] UDP   | 172.20.10.5    :56494 -> 102.132.104.60 :443  
